File Name         Size   Date        Time 
confirm.htm       1,923  1999/02/04  04:23
confirm.inf         130  1999/02/04  04:23
empty.tmp             2  1999/02/04  04:23
folder.inf           95  1999/02/04  04:23
fp20htp.dll      91,136  1999/02/04  04:23
fp20ime.dll     130,048  1999/02/04  04:23
fp20tl.dll      126,464  1999/02/04  04:23
fp20utl.dll     636,416  1999/02/04  04:23
fpedsat.dll     255,488  1999/02/04  04:23
fpxpress.chm     22,102  1999/02/04  04:23
fpxpress.exe  1,723,904  1999/02/04  04:23
fpxpress.inf      9,266  1999/02/04  04:23
lead52n.dll     916,992  1999/02/04  04:23
MFC40LOC.dll     32,768  1999/02/04  04:23
normal.htm          227  1999/02/04  04:23
normal.inf           66  1999/02/04  04:23
setdefed.exe     27,136  1999/02/04  04:23
survey.htm        6,811  1999/02/04  04:23
survey.inf          110  1999/02/04  04:23
vtforsat.dll     35,328  1999/02/04  04:23
vthomsat.dll     27,136  1999/02/04  04:23
vtiform.exe     237,056  1999/02/04  04:23
vtiform.inf         121  1999/02/04  04:23
vtihome.exe     147,968  1999/02/04  04:23
vtihome.inf         108  1999/02/04  04:23
vtimesat.dll      7,168  1999/02/04  04:23
